season	yr	mnth	holiday	weekday	workingday	weathersit	temp	hum	windspeed	cnt
1	0	1	0	6	0	1	0.0591304	0.4	0.17197	1218.4517
4	0	11	0	6	0	1	0.329167	0.502083	0.224496	3761.5579
4	0	10	0	3	1	1	0.538333	0.647917	0.17725	4715.5474
2	1	6	0	5	1	1	0.649167	0.467917	0.17538299999999998	7490.633
2	0	5	0	4	1	1	0.535	0.7475	0.189667	4466.9395
3	0	7	0	4	1	1	0.75	0.65125	0.1592	4538.393
3	1	7	0	2	1	1	0.750833	0.655	0.211454	6697.659
2	0	6	0	0	0	2	0.699167	0.666667	0.102	4760.657
3	1	7	0	2	1	1	0.713333	0.704167	0.165425	6482.672
1	0	3	0	3	1	1	0.335	0.449583	0.30783299999999997	2136.8176
2	0	4	0	1	1	2	0.5956520000000001	0.716956	0.324474	3645.0327
2	0	3	0	4	1	3	0.268333	0.918333	0.217646	944.19464
4	1	10	0	1	1	1	0.4875	0.568333	0.08148330000000001	6637.304
4	0	12	0	1	1	1	0.276667	0.6375	0.172896	3148.3464
2	0	6	0	4	1	2	0.808333	0.568333	0.149883	4017.0955
3	1	9	0	6	0	2	0.753333	0.638333	0.113187	7570.6733
4	1	11	0	0	0	1	0.420833	0.6591670000000001	0.1275	5429.5312
2	0	4	0	4	1	1	0.4375	0.602917	0.16231199999999998	3511.11
4	0	11	0	3	1	3	0.456667	0.93	0.136829	2399.8223
2	0	6	0	1	1	2	0.635	0.74625	0.155475	4324.2104
3	0	8	0	2	1	1	0.700833	0.578333	0.23632899999999998	4854.817
2	0	5	0	6	0	1	0.655833	0.729583	0.23009200000000002	4973.2075
3	0	7	0	4	1	2	0.815	0.69125	0.222021	4300.6846
3	1	8	0	6	0	2	0.6925	0.732917	0.206479	6667.178
4	0	9	0	5	1	2	0.609167	0.9725	0.0783667	4455.982
3	0	8	0	1	1	1	0.665833	0.712083	0.208954	4439.927
2	1	3	0	4	1	1	0.494167	0.43916700000000003	0.31965	6397.887
1	1	12	0	0	0	1	0.255833	0.483333	0.350754	2313.0205
1	1	3	0	2	1	1	0.560833	0.807917	0.121271	6213.3677
3	1	9	0	6	0	1	0.608333	0.501667	0.247521	8377.082
2	0	5	0	1	1	2	0.549167	0.73	0.183454	4299.5703
4	0	12	0	2	1	2	0.385833	0.595417	0.06157080000000001	4048.3816
2	1	3	0	2	1	1	0.323333	0.29	0.187192	4602.102
2	1	5	0	5	1	1	0.564167	0.523333	0.136817	7174.9995
3	0	7	0	4	1	1	0.680833	0.47625	0.24066700000000002	5363.44
1	0	12	0	4	1	2	0.423333	0.7575	0.047275	2825.0254
1	1	2	0	5	1	2	0.280833	0.54	0.11692899999999999	3955.2998
3	1	9	0	5	1	1	0.633333	0.6725	0.10386300000000001	7988.432
4	1	12	0	5	1	2	0.320833	0.764167	0.1306	4538.5376
1	1	3	0	2	1	1	0.258333	0.456667	0.200875	3869.708
4	0	10	0	0	0	1	0.540833	0.7275	0.06345	5082.8184
2	0	3	0	5	1	1	0.264167	0.495	0.230725	2370.9941
4	0	12	0	0	0	1	0.220833	0.49	0.0665417	2449.9365
2	0	5	0	6	0	1	0.52	0.54125	0.16045	5224.2354
3	0	7	0	5	1	1	0.7225	0.39625	0.10260799999999999	5303.7373
3	0	8	0	3	1	1	0.656667	0.597917	0.08333330000000001	5312.9272
4	1	9	0	0	0	1	0.526667	0.583333	0.134958	7250.652
1	0	1	0	2	1	2	0.223478	0.616957	0.129796	1534.593
4	0	11	0	5	1	2	0.403333	0.6225	0.271779	3392.2876
2	0	4	0	5	1	1	0.51	0.457083	0.240063	4247.2163
3	0	6	0	0	0	1	0.68	0.513333	0.09453330000000001	5307.758
1	1	3	0	5	1	2	0.353333	0.657083	0.144904	4152.5034
4	0	12	0	5	1	1	0.31416700000000003	0.625833	0.100754	3723.097
2	0	4	1	5	0	1	0.446667	0.67125	0.226375	3566.4739
4	1	10	1	1	0	2	0.383333	0.709583	0.189679	4233.9478
1	1	1	0	2	1	1	0.15	0.44125	0.365671	2360.6343
2	1	4	0	5	1	1	0.526667	0.694583	0.149871	6868.538
4	0	10	0	4	1	2	0.589167	0.896667	0.141787	3986.3745
1	1	2	0	6	0	1	0.346667	0.534583	0.190929	4085.839
3	0	8	0	3	1	1	0.766667	0.424167	0.200258	4606.4995
2	1	5	0	1	1	2	0.573333	0.789583	0.21269200000000002	4912.6978
4	1	10	0	0	0	2	0.4775	0.694583	0.38061125	4809.974
2	0	6	0	4	1	2	0.628333	0.688333	0.20647100000000002	4833.785
4	1	12	0	6	0	2	0.298333	0.806667	0.05970419999999999	4775.3213
1	1	12	0	0	0	1	0.245833	0.515417	0.13308299999999998	2220.6401
2	0	6	0	2	1	1	0.7075	0.597917	0.187808	4959.8433
4	0	10	0	0	0	2	0.356667	0.791667	0.22201300000000002	2993.0654
4	1	9	0	1	1	1	0.514167	0.492917	0.142404	7134.232
1	0	3	0	4	1	1	0.19833299999999998	0.318333	0.225754	1662.3162
3	0	9	0	6	0	1	0.669167	0.716667	0.185325	5000.506
3	0	8	0	2	1	1	0.775	0.570417	0.151121	4429.924
4	1	12	0	0	0	2	0.3625	0.83875	0.100742	4916.742
2	1	4	0	4	1	1	0.3975	0.46625	0.290429	5703.678
3	1	7	0	0	0	1	0.8225	0.57375	0.125629	5682.349
1	0	1	0	3	1	1	0.172727	0.599545	0.304627	1324.8236
1	1	1	0	4	1	1	0.265833	0.524167	0.129987	3582.411
1	1	1	0	6	0	1	0.315833	0.543333	0.210829	3720.23
1	1	1	0	0	0	2	0.1625	0.79625	0.199638	1584.1085
2	0	5	0	1	1	1	0.5325	0.58875	0.17600000000000002	4664.4854
1	0	3	0	2	1	1	0.2925	0.420833	0.12065	2128.8093
3	1	7	0	2	1	1	0.818333	0.505833	0.114429	5847.956
4	1	10	0	3	1	1	0.514167	0.630833	0.18782100000000002	7273.408
3	0	7	0	0	0	1	0.7475	0.578333	0.183471	4418.2046
3	1	7	0	6	0	3	0.595833	0.865417	0.2133	4454.608
1	1	2	0	5	1	2	0.4075	0.7375	0.237567	3737.5085
1	1	2	0	4	1	2	0.399167	0.672917	0.187187	3727.681
4	1	10	0	0	0	2	0.415833	0.708333	0.14116199999999998	5129.748
4	1	12	0	6	0	1	0.324167	0.650417	0.10635	4965.873
1	1	1	0	3	1	1	0.294167	0.64375	0.161071	3538.0642
1	1	2	0	6	0	1	0.290833	0.395833	0.38061125	2768.2083
3	1	7	0	2	1	2	0.720833	0.6675	0.15173699999999998	6813.751
4	0	11	0	6	0	1	0.356667	0.552917	0.212062	3661.359
2	1	4	0	5	1	1	0.4425	0.408333	0.155471	6499.6167
3	0	8	0	5	1	1	0.710833	0.630833	0.184696	4967.379
4	0	12	0	2	1	3	0.4625	0.949583	0.23258299999999998	1606.3358
4	1	12	0	2	1	1	0.410833	0.66625	0.221404	5375.128
1	1	1	0	1	1	2	0.224167	0.701667	0.0989	2413.6262
4	1	10	0	4	1	2	0.6575	0.722917	0.117546	7307.5474
2	0	5	0	0	0	1	0.6675	0.81875	0.21393800000000002	4283.5137
3	0	7	0	3	1	1	0.775	0.402917	0.18346300000000001	4547.1885
4	0	12	0	1	1	2	0.385833	0.827083	0.06220830000000001	3679.3796
2	0	5	0	6	0	2	0.520833	0.9225	0.13495	4401.4717
2	0	5	0	5	1	1	0.479167	0.59	0.228246	4629.6353
1	0	3	0	6	0	1	0.329167	0.594583	0.220775	2266.9573
1	0	1	0	0	0	1	0.216522	0.722174	0.0739826	818.6143
3	1	6	0	3	1	1	0.6975	0.36	0.271775	7196.5923
4	1	12	0	2	1	1	0.475833	0.73375	0.174129	6150.481
4	0	10	0	0	0	1	0.511667	0.486667	0.281717	4481.739
1	0	3	0	5	1	2	0.31652199999999997	0.649565	0.23296999999999998	1635.6284
3	1	7	0	6	0	2	0.703333	0.699167	0.143679	6665.1265
2	1	3	0	1	1	1	0.445833	0.477917	0.38061125	4994.932
3	1	9	1	1	0	1	0.7075	0.790833	0.151121	6594.231
1	1	12	0	1	1	2	0.215833	0.5775	0.154846	2576.2
3	0	9	0	2	1	1	0.650833	0.7125	0.14180399999999999	4772.158
1	0	3	0	0	0	2	0.37652199999999997	0.948261	0.343287	1426.1747
4	1	10	0	2	1	1	0.468333	0.558333	0.182221	7100.774
2	0	6	0	1	1	1	0.678333	0.6	0.121896	5131.3813
1	0	1	0	6	0	2	0.165	0.535833	0.266804	1103.3022
4	0	11	1	4	0	1	0.37333299999999997	0.549167	0.167304	2434.5815
3	1	7	0	0	0	1	0.7216670000000001	0.62375	0.170396	6925.616
2	0	5	0	4	1	1	0.459167	0.44416700000000003	0.295392	4319.2627
2	0	5	0	5	1	1	0.681667	0.65375	0.240679	4914.554
2	1	4	0	0	0	2	0.425833	0.67625	0.172267	4590.1953
1	0	2	0	1	1	2	0.407273	0.8763639999999999	0.289686	1537.6581
3	0	8	0	2	1	1	0.639167	0.548333	0.12500799999999998	5300.0854
1	1	2	0	1	1	1	0.366667	0.490833	0.26803299999999997	4041.9336
3	1	8	0	0	0	1	0.769167	0.6525	0.290421	6219.896
1	0	12	0	6	0	1	0.3025	0.5425	0.190304	2394.1858
3	0	8	0	1	1	1	0.636667	0.554583	0.159825	5091.194
3	0	8	0	3	1	2	0.731667	0.6575	0.13558299999999998	4717.8633
1	1	2	0	3	1	1	0.348333	0.53125	0.1816	4362.6333
3	1	6	0	5	1	1	0.7775	0.57375	0.182842	6583.352
1	0	12	1	1	0	1	0.321739	0.506957	0.239465	1469.7675
2	1	6	0	2	1	2	0.540833	0.613333	0.209575	6385.719
1	0	12	0	5	1	1	0.37333299999999997	0.68625	0.274246	2187.1672
1	0	1	0	6	0	1	0.196522	0.6517390000000001	0.14536500000000002	1111.5564
2	0	6	0	0	0	2	0.648333	0.6525	0.138692	4852.9854
3	1	7	0	3	1	1	0.716667	0.633333	0.15173299999999998	7196.372
3	0	6	0	6	0	1	0.695	0.483333	0.209571	5338.3823
2	0	6	0	1	1	1	0.635	0.494583	0.30535	5064.336
1	1	2	0	6	0	3	0.224167	0.73125	0.289796	1848.8752
4	0	10	0	4	1	1	0.494167	0.620833	0.134954	4584.069
4	0	11	0	6	0	1	0.326667	0.519167	0.18906199999999998	3743.0352
1	1	3	0	2	1	1	0.565	0.6175	0.23695	5747.4556
3	1	8	0	2	1	2	0.735833	0.70375	0.116908	6556.072
3	1	9	0	3	1	1	0.736667	0.74125	0.187808	7146.626
4	0	11	0	0	0	2	0.463333	0.6845829999999999	0.18595	3734.5273
